scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_DELETE_REQUESTS,,"66e72707-a60b-49e2-94c7-0b0af30e3c59","2020-10-16T21:02:51.685397",15.0,"2020-10-16T21:02:51.700763",PASSED,DELETE
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,Webhook-Event-Consume,,"f28d13bb-5dae-4886-8169-fc5b4b5e35be","2020-10-16T21:03:06.784427",4012.0,"2020-10-16T21:03:10.797137",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_RESET_MAPPINGS,,"4e6e3777-4f94-44ca-ba24-60ea44e3864e","2020-10-16T21:02:51.651661",32.0,"2020-10-16T21:02:51.684398",PASSED,POST
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"DELAY_for_Wiremock_Processing",,"ebdd2551-89ab-43bf-8578-304ff207e679","2020-10-16T21:02:59.779244",7004.0,"2020-10-16T21:03:06.783620",PASSED,seconds
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Inventory",,"a2e2022a-f83c-4fd8-9a16-70c759eaecb7","2020-10-16T21:02:55.720900",4023.0,"2020-10-16T21:02:59.744277",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"1073c87e-8fbe-4025-944f-dc0bd61765d0","2020-10-16T21:03:10.797707",15.0,"2020-10-16T21:03:10.813338",FAILED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"DELAY_for_Wiremock_Processing",,"f3aabb2e-4d6e-4de8-a903-8f0b427a6ce3","2020-10-16T21:03:19.051824",6996.0,"2020-10-16T21:03:26.048139",PASSED,seconds
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_RESET_MAPPINGS,,"764fa74c-bdef-40b7-aed8-36857e98bcf9","2020-10-16T21:03:10.814056",29.0,"2020-10-16T21:03:10.843932",PASSED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"Clear-Kafka-Queue-Inventory",,"092edb51-d7ec-48c8-a6bc-cd6fe99c4225","2020-10-16T21:03:14.873971",4017.0,"2020-10-16T21:03:18.891970",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"23b6784f-2fd6-49e3-8635-aab0ddaba426","2020-10-16T21:03:31.221159",13.0,"2020-10-16T21:03:31.234266",FAILED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"Clear-Kafka-Queue-Webhook",,"a9e9d61d-8de5-4806-acdd-a809fc90dd66","2020-10-16T21:03:10.858242",4015.0,"2020-10-16T21:03:14.873483",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_DELETE_REQUESTS,,"0c02a7ec-4061-4b32-93ae-d65d64bf3ea4","2020-10-16T21:03:10.844499",13.0,"2020-10-16T21:03:10.857624",PASSED,DELETE
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"3a2ee0de-3539-4994-ad1a-a579d12f6c8c","2020-10-16T21:03:18.892599",158.0,"2020-10-16T21:03:19.051265",PASSED,produceMessage
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,Webhook-Event-Consume,,"9382c206-dc71-4ce4-ab8b-41e348ef174d","2020-10-16T21:03:26.048599",5171.0,"2020-10-16T21:03:31.220590",PASSED,consume
